user_id,business_id,stars
1p3d__fuRRCDXfbS1Tq0wA,6LM_Klmp3hOP0JmsMCKRqQ,4
1p3d__fuRRCDXfbS1Tq0wA,8_HGHlHsNdCnTsLQYHteAw,5
1p3d__fuRRCDXfbS1Tq0wA,BdsVOlCc_eSVH2-PwZ7H7g,5
1p3d__fuRRCDXfbS1Tq0wA,EB__8TSp7DUTZvEnCJ3ATg,3
1p3d__fuRRCDXfbS1Tq0wA,G0nUhYF2q4tnoOPwCjXLig,3
1p3d__fuRRCDXfbS1Tq0wA,HMr_KN63f6MzM9h8Wije3Q,4
1p3d__fuRRCDXfbS1Tq0wA,Hs-EOmxbjrTUQgptmphHRA,5
1p3d__fuRRCDXfbS1Tq0wA,M2SjLXsuAy5RNKwxaA5E1g,5
1p3d__fuRRCDXfbS1Tq0wA,ME8gcI4BXjmFq7zEMtk3ag,5
1p3d__fuRRCDXfbS1Tq0wA,WT-v-DgQvW38DewVyTLdTA,1
1p3d__fuRRCDXfbS1Tq0wA,ZgWUM594Yqk52IvBgoIrdA,5
1p3d__fuRRCDXfbS1Tq0wA,_YqGfxbalxxMf-s0v8-qSA,3
1p3d__fuRRCDXfbS1Tq0wA,aBEg8BGc_4ZerEfzBeVHZQ,5
1p3d__fuRRCDXfbS1Tq0wA,bYhpy9u8fKkGhYHtvYXazQ,4
1p3d__fuRRCDXfbS1Tq0wA,c12WDNrP2wyQgbnEYDdxCw,4
1p3d__fuRRCDXfbS1Tq0wA,eWPFXL1Bmu1ImtIa2Rqliw,5
1p3d__fuRRCDXfbS1Tq0wA,jcI4ZPF3-hSUPsnoqRHO4w,4
1p3d__fuRRCDXfbS1Tq0wA,oFvqnJNxHguP3iBj-jZUGA,5
1p3d__fuRRCDXfbS1Tq0wA,z3SyT8blMIhsZNvKJgKcRA,4
22-6yC05pgWbLupHZTjQig,HwStBN9sxx3sxGCNHgnG6A,3
22-6yC05pgWbLupHZTjQig,LN0C9zNfQBlDfpt1ILDFNQ,4
22-6yC05pgWbLupHZTjQig,OxxOqlnPRq-Sbs6UHlWTkA,4
22-6yC05pgWbLupHZTjQig,UN8jsu0HEznYOXAcfwaMHg,2
22-6yC05pgWbLupHZTjQig,iQJ7bvH3aA0H4Re03XkWRw,4
22-6yC05pgWbLupHZTjQig,lWWKIdzgYNddKRYxbkO7SA,4
5lq4LkrviYgQ4LJNsBYHcA,-2n-OHbbwIv3SY8RP9bgTQ,3
5lq4LkrviYgQ4LJNsBYHcA,-5RN56jH78MV2oquLV_G8g,4
5lq4LkrviYgQ4LJNsBYHcA,-7yF42k0CcJhtPw51oaOqQ,4
5lq4LkrviYgQ4LJNsBYHcA,-8PVP-Pnv232xPOUgPrxmg,4
5lq4LkrviYgQ4LJNsBYHcA,-AAig9FG0s8gYE4f8GfowQ,5
5lq4LkrviYgQ4LJNsBYHcA,-KDCNt72VIuhV1rSUlF-eg,3
5lq4LkrviYgQ4LJNsBYHcA,-PcyNcCHU8ZWwf6_PwDbUQ,4
5lq4LkrviYgQ4LJNsBYHcA,05fTEsjUPVo5jks8PpNKCQ,4
5lq4LkrviYgQ4LJNsBYHcA,0MN1z_ELvr4Tkl0OsLTVkg,4
5lq4LkrviYgQ4LJNsBYHcA,0QFxzJAd_6SQ55LSTc_v4g,4
5lq4LkrviYgQ4LJNsBYHcA,0Vty6xYvihX-kmsocY1HWQ,4
5lq4LkrviYgQ4LJNsBYHcA,0fmc33tKK7chaPISqlMnwg,4
5lq4LkrviYgQ4LJNsBYHcA,0i0PwU8lpj4evYKQogWxcA,5
